[2014.05.30 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-06-06%2003:00:00
[2014.06.06 03:00:04]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-06-06%2018:00:00
[2014.06.06 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.06.06 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-06-13%2003:00:00
[2014.06.13 03:00:04]:[error]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-06-13%2018:00:00
[2014.06.13 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.06.13 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-06-20%2003:00:00
[2014.06.20 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-06-20%2018:00:00
[2014.06.20 11:12:42]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.06.20 12:06:15]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-06-27%2003:00:00
[2014.06.20 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-06-27%2003:00:00
[2014.06.27 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-06-27%2018:00:00
[2014.06.27 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.06.27 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-07-04%2003:00:00
[2014.07.04 03:00:05]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-07-03%2018:00:00
[2014.07.04 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.07.04 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-07-11%2003:00:00
[2014.07.11 14:39:59]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-07-11%2018:00:00
[2014.07.11 14:40:26]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.07.11 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-07-18%2003:00:00
[2014.07.18 03:00:04]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-07-18%2018:00:00
[2014.07.18 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.07.18 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-07-25%2003:00:00
[2014.07.25 03:00:02]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-07-25%2018:00:00
[2014.07.25 12:00:01]:[error]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.07.25 16:28:41]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-08-01%2003:00:00
[2014.08.01 03:00:04]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-08-01%2018:00:00
[2014.08.01 12:00:04]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.08.01 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-08-08%2003:00:00
[2014.08.08 09:50:26]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-08-08%2018:00:00
[2014.08.08 12:00:03]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.08.08 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-08-15%2003:00:00
[2014.08.15 03:00:06]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-08-08%2018:00:00
[2014.08.15 09:58:16]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-08-15%2018:00:00
[2014.08.15 12:00:01]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.08.15 18:00:01]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-08-22%2003:00:00
[2014.08.22 03:00:06]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-08-22%2018:00:00
[2014.08.29 03:00:06]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-08-29%2018:00:00
[2014.08.29 12:00:05]:[error]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.08.29 14:51:35]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.08.29 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-09-05%2003:00:00
[2014.09.05 03:00:06]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-09-05%2018:00:00
[2014.09.05 12:00:04]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.09.05 18:00:04]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-09-12%2003:00:00
[2014.09.12 03:00:05]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-09-12%2018:00:00
[2014.09.12 12:00:02]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.09.12 18:00:03]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-09-19%2003:00:00
[2014.09.19 03:00:08]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-09-19%2018:00:00
[2014.09.19 12:00:01]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.09.19 18:00:06]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-09-26%2003:00:00
[2014.09.26 03:00:05]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-09-26%2018:00:00
[2014.09.26 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
